"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ADCY3",32.1126159898111,0.236670539948029,0.445345719149786,0.531431042830858,0.595120114584108,0.996103828471001
"AGRP",32.0078907164227,-0.00217523634866916,0.445457954881959,-0.00488314626516339,0.996103828471001,0.996103828471001
"ANKRD27",32.0012156195961,-0.0239586249654338,0.4450678185111,-0.0538314026962978,0.95706949005069,0.996103828471001
"ANO4",32.1352148828458,0.223897307685737,0.447023173481345,0.500862865658755,0.616467638411146,0.996103828471001
"BDNF",46.4283077066459,-0.812869447552818,0.415784550012857,-1.95502561970541,0.0505800464142676,0.258229267962647
"CADM1",32.0020257023335,-0.0294646494813969,0.445080799397713,-0.0662006752959657,0.947218059147407,0.996103828471001
"CADM2",46.5626405240555,-0.846093171306309,0.415617312346357,-2.03575054785305,0.0417754104778091,0.257615031279823
"CALCR",32.0001846031514,-0.00481804868270019,0.445068401396568,-0.0108254117065641,0.99136273983475,0.996103828471001
"CNR1",53.1212812553873,0.101843088952176,0.399987299107402,0.254615807000486,0.799019849261948,0.996103828471001
"CREBRF",24.7017592982831,0.100532319034651,0.524599440657945,0.191636344309793,0.848027071469507,0.996103828471001
"DPP9",44.1332707943211,0.0733331368658057,0.420039568311572,0.174586259005507,0.861404746476732,0.996103828471001
"FTO",15.2531838451964,-0.213348006845939,0.64324191752476,-0.331676156409266,0.740133806868399,0.996103828471001
"GIPR",40.9442761047902,-0.0237412299013763,0.526711415507815,-0.0450744548197931,0.964047962822495,0.996103828471001
"GPR151",56.5934504622566,0.0999306221832576,0.393300468889504,0.254082133350654,0.799432106057946,0.996103828471001
"GPR75",39.6090216592041,-0.147347333367252,0.438849806406696,-0.335758000154386,0.737053364320865,0.996103828471001
"KIAA0586",29.0149462522033,0.328637950781511,0.458721347009965,0.716421751295502,0.473730968048318,0.996103828471001
"KIAA1109",21.3799300574779,0.109601456784532,0.524161239072778,0.209098744078087,0.834371155115887,0.996103828471001
"KSR2",49.9533829978858,-0.380079775421382,0.572377520248199,-0.664036867235053,0.506666715217749,0.996103828471001
"LEP",47.1403374684217,-1.39852213523376,0.461616320009821,-3.02962021620901,0.0024486143289507,0.0385224127402774
"LEPR",41.0705533367305,2.61600766182855,0.521775993906498,5.01366044505554,5.34041960333652e-07,1.97595525323451e-05
"MC4R",19.6679872087137,-1.7902184365126,0.605761078844181,-2.95532099871523,0.0031234388708333,0.0385224127402774
"MRAP2",40.6662223605652,-0.433191607128468,0.555114763976249,-0.780364053057329,0.43517662030593,0.996103828471001
"NRP1",27.7394867692625,0.370743663821165,0.479059842127069,0.773898438606396,0.438990853020637,0.996103828471001
"NRP2",34.502162103066,-0.318770303721087,0.45883776598842,-0.694734233644428,0.487221869962218,0.996103828471001
"NTRK2",37.8897401791822,-1.22699408335318,0.451769276975162,-2.71597504719348,0.00660808983258713,0.061124830951431
"PCSK1",48.499628326511,0.784383877047972,0.410170941794256,1.91233409567424,0.0558333552351669,0.258229267962647
"PDE3B",34.0651295299466,-0.00377949204785972,0.471461477709516,-0.00801654477948334,0.993603791198255,0.996103828471001
"PHIP",24.0533119480121,-0.188705704053354,0.510488450757665,-0.36965714654911,0.711637965551632,0.996103828471001
"POMC",52.4985173348025,0.650727037974302,0.39719131514465,1.63832141631123,0.101354662420317,0.416680278839083
"PPARG",29.2330544233354,-0.0831966258035701,0.470748302650014,-0.176732715413366,0.859718342169286,0.996103828471001
"ROBO1",25.4941351786752,-0.167967314877322,0.485096770426422,-0.346255273416212,0.729150878579162,0.996103828471001
"SH2B1",50.5635158975844,0.922172180960261,0.429498588631369,2.14709013107316,0.0317861068334318,0.235217190567395
"SIM1",21.7719200779398,-0.275031505634964,0.511888737713336,-0.53728766697146,0.591068923152284,0.996103828471001
"SPARC",41.7957102439947,0.0748181066658502,0.418994355037155,0.178565906118748,0.858278567133231,0.996103828471001
"TMEM18",23.7405675232327,-0.0308240632347604,0.492088328732065,-0.062639289401931,0.950053742413738,0.996103828471001
"UBR2",51.4312025821304,-0.081824830997275,0.417356982494486,-0.196054779072388,0.844567290370622,0.996103828471001
"UHMK1",32.0019918347723,0.00372083640699479,0.445160235981991,0.0083584204208781,0.993331023046242,0.996103828471001
